,date,price_usd
704,2021-12-06,69.62
705,2021-12-07,71.94
706,2021-12-08,72.43
707,2021-12-09,70.87
708,2021-12-10,71.71
709,2021-12-11,71.71
710,2021-12-12,71.71
711,2021-12-13,71.19
712,2021-12-14,70.57
713,2021-12-15,70.89
714,2021-12-16,72.34
715,2021-12-17,70.93
716,2021-12-18,70.93
717,2021-12-19,70.93
718,2021-12-20,68.69
719,2021-12-21,71.1
720,2021-12-22,72.82
721,2021-12-23,73.89
722,2021-12-24,73.89
723,2021-12-25,73.89
724,2021-12-26,73.89
725,2021-12-27,75.49
726,2021-12-28,76.01
727,2021-12-29,76.58
728,2021-12-30,76.83
729,2021-12-31,75.33
730,2022-01-01,75.33
731,2022-01-02,75.33
732,2022-01-03,75.99
733,2022-01-04,77.0
734,2022-01-05,77.83
735,2022-01-06,79.47
736,2022-01-07,79.0
737,2022-01-08,79.0
738,2022-01-09,79.0
739,2022-01-10,78.11
740,2022-01-11,81.17
741,2022-01-12,82.51
742,2022-01-13,81.97
743,2022-01-14,83.82
744,2022-01-15,83.82
745,2022-01-16,83.82
746,2022-01-17,83.82
747,2022-01-18,85.42
748,2022-01-19,86.84
749,2022-01-20,86.29
750,2022-01-21,85.16
751,2022-01-22,85.16
752,2022-01-23,85.16
753,2022-01-24,84.48
754,2022-01-25,86.61
755,2022-01-26,88.33
756,2022-01-27,87.61
757,2022-01-28,87.67
758,2022-01-29,87.67
759,2022-01-30,87.67
760,2022-01-31,89.16
761,2022-02-01,88.22
762,2022-02-02,88.16
763,2022-02-03,90.17
764,2022-02-04,92.27
765,2022-02-05,92.27
766,2022-02-06,92.27
767,2022-02-07,91.25
768,2022-02-08,89.32
769,2022-02-09,89.57
770,2022-02-10,89.83
771,2022-02-11,93.1
772,2022-02-12,93.1
773,2022-02-13,93.1
774,2022-02-14,95.52
775,2022-02-15,92.07
776,2022-02-16,93.83
777,2022-02-17,91.78
778,2022-02-18,91.26
779,2022-02-19,91.26
780,2022-02-20,91.26
781,2022-02-21,91.26
782,2022-02-22,92.11
783,2022-02-23,92.14
784,2022-02-24,92.77
785,2022-02-25,91.68
786,2022-02-26,91.68
787,2022-02-27,91.68
788,2022-02-28,96.13
789,2022-03-01,103.66
790,2022-03-02,110.74
791,2022-03-03,107.69
792,2022-03-04,115.77
793,2022-03-05,115.77
794,2022-03-06,115.77
795,2022-03-07,119.26
796,2022-03-08,123.64
797,2022-03-09,108.81
798,2022-03-10,105.93
799,2022-03-11,109.31
800,2022-03-12,109.31
801,2022-03-13,109.31
802,2022-03-14,103.22
803,2022-03-15,96.42
804,2022-03-16,94.85
805,2022-03-17,102.97
806,2022-03-18,104.69
807,2022-03-19,104.69
808,2022-03-20,104.69
809,2022-03-21,112.14
810,2022-03-22,111.03
811,2022-03-23,114.89
812,2022-03-24,114.2
