,country,code,year,illiteracy_rate,literacy_rate,invalid_literacy_flag,literacy_rate_outlier_flag,illiteracy_rate_outlier_flag
769,Kuwait,KWT,2013,4.0,96.0,False,False,False
770,Kuwait,KWT,2015,4.0,96.0,False,False,False
771,Kuwait,KWT,2017,4.0,96.0,False,False,False
772,Kuwait,KWT,2018,4.0,96.0,False,False,False
773,Kuwait,KWT,2020,4.0,96.0,False,False,False
774,Kyrgyzstan,KGZ,1999,1.0,99.0,False,False,False
775,Kyrgyzstan,KGZ,2009,1.0,99.0,False,False,False
777,Laos,LAO,1995,40.0,60.0,False,False,False
778,Laos,LAO,2000,30.0,70.0,False,False,False
779,Laos,LAO,2001,31.0,69.0,False,False,False
780,Laos,LAO,2005,27.0,73.0,False,False,False
781,Laos,LAO,2015,15.0,85.0,False,False,False
883,Latvia,LVA,2000,0.0,100.0,False,False,False
884,Latvia,LVA,2011,0.0,100.0,False,False,False
886,Lebanon,LBN,2007,10.0,90.0,False,False,False
887,Lebanon,LBN,2009,9.0,91.0,False,False,False
888,Lebanon,LBN,2018,7.0,93.0,False,False,False
890,Lesotho,LSO,2000,14.0,86.0,False,False,False
891,Lesotho,LSO,2006,34.0,66.0,False,False,False
892,Lesotho,LSO,2016,3.0,97.0,False,False,False
893,Lesotho,LSO,2018,13.759132,86.24087,False,False,False
900,Lithuania,LTU,2001,0.0,100.0,False,False,False
901,Lithuania,LTU,2011,0.0,100.0,False,False,False
990,Macao,MAC,2001,9.0,91.0,False,False,False
991,Macao,MAC,2006,7.0,93.0,False,False,False
992,Macao,MAC,2011,4.0,96.0,False,False,False
993,Macao,MAC,2016,3.0,97.0,False,False,False
995,Madagascar,MDG,2000,29.0,71.0,False,False,False
996,Madagascar,MDG,2005,41.0,59.0,False,False,False
997,Madagascar,MDG,2012,28.0,72.0,False,False,False
998,Madagascar,MDG,2018,23.0,77.0,False,False,False
999,Madagascar,MDG,2021,25.313858,74.68614,False,False,False
1002,Malawi,MWI,1998,36.0,64.0,False,False,False
1003,Malawi,MWI,2020,29.847733,70.15227,False,False,False
1006,Malaysia,MYS,1991,17.0,83.0,False,False,False
1007,Malaysia,MYS,2000,11.0,89.0,False,False,False
1008,Malaysia,MYS,2010,7.0,93.0,False,False,False
1009,Malaysia,MYS,2016,5.0,95.0,False,False,False
1010,Malaysia,MYS,2017,5.0,95.0,False,False,False
1011,Malaysia,MYS,2018,5.0,95.0,False,False,False
1012,Malaysia,MYS,2019,5.0,95.0,False,False,False
1013,Malaysia,MYS,2022,4.0,96.0,False,False,False
1017,Maldives,MDV,1990,4.0,96.0,False,False,False
1018,Maldives,MDV,1995,4.0,96.0,False,False,False
1019,Maldives,MDV,2000,4.0,96.0,False,False,False
1020,Maldives,MDV,2006,2.0,98.0,False,False,False
1021,Maldives,MDV,2014,1.0,99.0,False,False,False
1022,Maldives,MDV,2016,2.0,98.0,False,False,False
1023,Maldives,MDV,2017,5.4944916,94.50551,False,False,False
1024,Maldives,MDV,2019,1.7881393,98.21186,False,False,False
1026,Mali,MLI,1998,81.0,19.0,False,True,True
1027,Mali,MLI,2003,76.0,24.0,False,True,True
