,country,code,year,adult_literacy_rate,youth_literacy_rate_M,youth_literacy_rate_F,continent,invalid_literacy_flag,adult_literacy_rate_outlier_flag,youth_literacy_rate_M_outlier_flag,youth_literacy_rate_F_outlier_flag
475,Ecuador,ECU,2010,92.0,98.5,98.9,South America,False,False,False,False
476,Ecuador,ECU,2011,92.0,98.6,98.8,South America,False,False,False,False
477,Ecuador,ECU,2012,92.0,98.8,98.9,South America,False,False,False,False
478,Ecuador,ECU,2013,93.0,98.6,98.6,South America,False,False,False,False
479,Ecuador,ECU,2014,94.0,99.0,99.2,South America,False,False,False,False
480,Ecuador,ECU,2015,94.0,99.3,98.9,South America,False,False,False,False
481,Ecuador,ECU,2016,94.0,99.0,99.1,South America,False,False,False,False
482,Ecuador,ECU,2017,93.0,99.1,99.4,South America,False,False,False,False
483,Ecuador,ECU,2018,93.33333333333333,98.9,99.1,South America,False,False,False,False
484,Ecuador,ECU,2019,93.66666666666667,98.2,98.8,South America,False,False,False,False
485,Ecuador,ECU,2020,94.0,98.5,99.1,South America,False,False,False,False
486,Ecuador,ECU,2021,94.0,99.0,99.2,South America,False,False,False,False
487,Ecuador,ECU,2022,94.0,99.0,99.2,South America,False,False,False,False
488,Ecuador,ECU,2023,94.0,99.0,99.3,South America,False,False,False,False
491,Egypt,EGY,1996,56.0,79.0,67.0,Africa,False,False,False,False
492,Egypt,EGY,2000,61.5,84.5,77.19,Africa,False,False,False,False
493,Egypt,EGY,2005,67.0,90.0,79.0,Africa,False,False,False,False
494,Egypt,EGY,2006,66.0,88.0,82.0,Africa,False,False,False,False
495,Egypt,EGY,2010,72.0,91.0,84.0,Africa,False,False,False,False
496,Egypt,EGY,2012,74.0,92.0,86.0,Africa,False,False,False,False
497,Egypt,EGY,2013,72.0,94.0,90.0,Africa,False,False,False,False
498,Egypt,EGY,2014,71.5,91.5,94.08,Africa,False,False,False,False
499,Egypt,EGY,2017,71.0,89.0,87.0,Africa,False,False,False,False
500,Egypt,EGY,2022,71.0,95.51,94.82,Africa,False,False,False,False
501,El Salvador,SLV,1992,74.0,85.0,85.0,North America,False,False,False,False
502,El Salvador,SLV,2000,75.42857142857143,92.2,92.6,North America,False,False,False,False
503,El Salvador,SLV,2001,76.85714285714286,93.5,93.6,North America,False,False,False,False
504,El Salvador,SLV,2002,78.28571428571429,92.9,93.6,North America,False,False,False,False
505,El Salvador,SLV,2003,79.71428571428571,93.3,93.4,North America,False,False,False,False
506,El Salvador,SLV,2004,81.14285714285714,93.7,94.0,North America,False,False,False,False
507,El Salvador,SLV,2005,82.57142857142857,94.9,94.9,North America,False,False,False,False
508,El Salvador,SLV,2006,84.0,94.4,95.5,North America,False,False,False,False
509,El Salvador,SLV,2007,82.0,95.2,95.8,North America,False,False,False,False
510,El Salvador,SLV,2008,84.0,95.0,96.0,North America,False,False,False,False
511,El Salvador,SLV,2009,84.0,95.1,96.1,North America,False,False,False,False
512,El Salvador,SLV,2010,84.0,95.7,96.4,North America,False,False,False,False
513,El Salvador,SLV,2011,85.0,96.0,97.0,North America,False,False,False,False
514,El Salvador,SLV,2012,86.0,96.7,97.6,North America,False,False,False,False
515,El Salvador,SLV,2013,87.0,96.9,97.5,North America,False,False,False,False
516,El Salvador,SLV,2014,87.5,97.3,98.2,North America,False,False,False,False
517,El Salvador,SLV,2015,88.0,97.5,98.4,North America,False,False,False,False
518,El Salvador,SLV,2016,88.0,97.7,98.3,North America,False,False,False,False
519,El Salvador,SLV,2017,88.0,97.8,98.1,North America,False,False,False,False
520,El Salvador,SLV,2018,89.0,97.7,98.2,North America,False,False,False,False
521,El Salvador,SLV,2019,89.0,98.0,98.7,North America,False,False,False,False
522,El Salvador,SLV,2020,90.0,98.3,98.7,North America,False,False,False,False
523,El Salvador,SLV,2021,90.0,97.8,98.3,North America,False,False,False,False
524,El Salvador,SLV,2022,90.0,98.0,98.6,North America,False,False,False,False
