Price,Date,Close,High,Low,Open,Volume
Ticker,,^IXIC,^IXIC,^IXIC,^IXIC,^IXIC
1095,2024-05-09,16346.259765625,16362.7900390625,16241.98046875,16323.740234375,4505120000
1096,2024-05-10,16340.8701171875,16437.390625,16293.51953125,16389.01953125,4402110000
1097,2024-05-13,16388.240234375,16407.05078125,16334.8603515625,16400.310546875,4452750000
1098,2024-05-14,16511.1796875,16526.26953125,16386.4296875,16391.16015625,7270240000
1099,2024-05-15,16742.390625,16749.740234375,16544.08984375,16601.140625,8538990000
1100,2024-05-16,16698.3203125,16797.830078125,16693.44921875,16738.109375,11932600000
1101,2024-05-17,16685.970703125,16726.41015625,16613.83984375,16708.490234375,9587280000
1102,2024-05-20,16794.869140625,16823.830078125,16695.689453125,16702.01953125,6861320000
1103,2024-05-21,16832.619140625,16839.01953125,16719.970703125,16736.099609375,6245090000
1104,2024-05-22,16801.5390625,16855.26953125,16712.08984375,16839.01953125,7277340000
1105,2024-05-23,16736.029296875,16996.390625,16678.369140625,16996.390625,7752800000
1106,2024-05-24,16920.7890625,16947.80078125,16771.580078125,16786.7890625,5836040000
1107,2024-05-28,17019.880859375,17032.66015625,16917.509765625,16988.310546875,6293380000
1108,2024-05-29,16920.580078125,16989.599609375,16873.970703125,16879.349609375,6652480000
1109,2024-05-30,16737.080078125,16900.4609375,16690.359375,16878.630859375,6659290000
1110,2024-05-31,16735.01953125,16789.26953125,16445.5390625,16771.900390625,6674090000
1111,2024-06-03,16828.669921875,16909.890625,16646.4296875,16865.69921875,5422040000
1112,2024-06-04,16857.05078125,16891.869140625,16750.390625,16823.880859375,4917350000
1113,2024-06-05,17187.900390625,17187.919921875,16955.560546875,16974.48046875,5325000000
1114,2024-06-06,17173.119140625,17235.73046875,17123.58984375,17204.869140625,4960580000
1115,2024-06-07,17133.130859375,17229.310546875,17090.0390625,17124.140625,4755650000
1116,2024-06-10,17192.529296875,17213.44921875,17057.33984375,17083.44921875,5207110000
1117,2024-06-11,17343.55078125,17345.05078125,17107.990234375,17160.419921875,5009220000
1118,2024-06-12,17608.439453125,17725.390625,17490.640625,17502.150390625,5560630000
1119,2024-06-13,17667.560546875,17741.80078125,17566.3203125,17715.26953125,4916020000
1120,2024-06-14,17688.880859375,17693.4296875,17590.80078125,17621.1796875,4973820000
1121,2024-06-17,17857.01953125,17935.990234375,17636.359375,17697.30078125,6061200000
1122,2024-06-18,17862.23046875,17890.51953125,17796.880859375,17856.759765625,5796180000
1123,2024-06-20,17721.58984375,17936.7890625,17650.689453125,17913.939453125,6289300000
1124,2024-06-21,17689.359375,17787.33984375,17620.5703125,17681.009765625,8589160000
1125,2024-06-24,17496.8203125,17730.119140625,17494.01953125,17640.259765625,5503210000
1126,2024-06-25,17717.650390625,17734.33984375,17546.630859375,17572.16015625,4848280000
1127,2024-06-26,17805.16015625,17813.55078125,17687.0703125,17697.26953125,5294310000
1128,2024-06-27,17858.6796875,17892.779296875,17765.419921875,17793.94921875,5382060000
1129,2024-06-28,17732.599609375,18035.0,17723.830078125,17891.099609375,8960940000
1130,2024-07-01,17879.30078125,17894.279296875,17657.640625,17773.900390625,5189990000
1131,2024-07-02,18028.759765625,18031.2890625,17802.240234375,17808.0390625,4526550000
1132,2024-07-03,18188.30078125,18188.30078125,18016.119140625,18016.119140625,3713960000
1133,2024-07-05,18352.759765625,18366.310546875,18197.140625,18200.599609375,4851000000
1134,2024-07-08,18403.740234375,18416.939453125,18342.599609375,18371.859375,5286260000
1135,2024-07-09,18429.2890625,18511.890625,18381.599609375,18465.01953125,4839140000
1136,2024-07-10,18647.44921875,18655.189453125,18467.580078125,18512.08984375,5228240000
1137,2024-07-11,18283.41015625,18671.0703125,18238.779296875,18659.25,6366620000
