,country,code,year,illiteracy_rate,literacy_rate,invalid_literacy_flag,literacy_rate_outlier_flag,illiteracy_rate_outlier_flag,illiteracy_rate_norm,illiteracy_burden_index
602,Ghana,GHA,2010,29.0,71.0,False,False,False,0.3258426966292135,0.3258426966292135
603,Ghana,GHA,2017,35.507607,64.49239,False,False,False,0.3989618764044944,0.3989618764044944
604,Ghana,GHA,2021,23.51432,76.48568,False,False,False,0.2642058426966292,0.2642058426966292
611,Greece,GRC,1991,7.0,93.0,False,False,False,0.07865168539325842,0.07865168539325842
612,Greece,GRC,2001,4.0,96.0,False,False,False,0.0449438202247191,0.0449438202247191
613,Greece,GRC,2009,6.0,94.0,False,False,False,0.06741573033707865,0.06741573033707865
621,Guam,GUM,1990,1.0,99.0,False,False,False,0.011235955056179775,0.011235955056179775
623,Guatemala,GTM,1994,36.0,64.0,False,False,False,0.4044943820224719,0.4044943820224719
624,Guatemala,GTM,2002,31.0,69.0,False,False,False,0.348314606741573,0.348314606741573
625,Guatemala,GTM,2012,22.0,78.0,False,False,False,0.24719101123595505,0.24719101123595505
626,Guatemala,GTM,2013,23.0,77.0,False,False,False,0.2584269662921348,0.2584269662921348
627,Guatemala,GTM,2014,19.0,81.0,False,False,False,0.21348314606741572,0.21348314606741572
628,Guatemala,GTM,2015,19.804909,80.19509,False,False,False,0.2225270674157303,0.2225270674157303
629,Guatemala,GTM,2018,19.0,81.0,False,False,False,0.21348314606741572,0.21348314606741572
630,Guatemala,GTM,2022,16.968826,83.03117,False,False,False,0.19066096629213483,0.19066096629213483
631,Guinea,GIN,1996,79.0,21.0,False,True,True,0.8876404494382022,0.8876404494382022
632,Guinea,GIN,2003,70.0,30.0,False,True,True,0.7865168539325842,0.7865168539325842
633,Guinea,GIN,2010,75.0,25.0,False,True,True,0.8426966292134831,0.8426966292134831
634,Guinea,GIN,2014,68.0,32.0,False,True,True,0.7640449438202247,0.7640449438202247
635,Guinea,GIN,2018,60.0,40.0,False,False,False,0.6741573033707865,0.6741573033707865
638,Guinea-Bissau,GNB,2000,59.0,41.0,False,False,False,0.6629213483146067,0.6629213483146067
639,Guinea-Bissau,GNB,2019,45.11768,54.88232,False,False,False,0.5069402247191012,0.5069402247191012
640,Guinea-Bissau,GNB,2022,36.06587,63.93413,False,False,False,0.4052344943820224,0.4052344943820224
642,Guyana,GUY,2020,14.361649,85.63835,False,False,False,0.1613668426966292,0.1613668426966292
645,Haiti,HTI,2003,41.0,59.0,False,False,False,0.4606741573033708,0.4606741573033708
646,Haiti,HTI,2017,31.990143,68.00986,False,False,False,0.35943980898876404,0.35943980898876404
653,Honduras,HND,2001,20.0,80.0,False,False,False,0.2247191011235955,0.2247191011235955
654,Honduras,HND,2007,16.0,84.0,False,False,False,0.1797752808988764,0.1797752808988764
